"code","time_zone_id","name","city_code","country_id","location","elevation","url","icao","city","county","state"
WIN,Australia/Brisbane,Winton Airport,WIN,AU,POINT (143.06667 -22.35),620,,YWTN,Hughenden,Flinders,Queensland
BBH,Europe/Berlin,Barth,BBH,DE,POINT (12.712626338183224 54.33965175),26,,EDBH,,,
WIO,Australia/Sydney,Wilcannia,WIO,AU,POINT (143.55 -31.083332),226,,YWCA,Broken Hill,Broken Hill Municipality,New South Wales
ZQN,Pacific/Auckland,Queenstown Airport,ZQN,NZ,POINT (168.74343994415125 -45.019299950000004),1171,,NZQN,Queenstown,Queenstown-Lakes District,Otago
BKZ,Africa/Dar_es_Salaam,Bukoba Airport,BKZ,TZ,POINT (31.820484188574866 -1.33063155),3750,,HTBU,Bukoba,,Kagera
WGC,Asia/Kolkata,Warangal,WGC,IN,POINT (79.6036086 17.9140552),958,http://aai.aero/allAirports/warrangal.jsp,VOWA,Warangal,Warangal,Telangana
ZQZ,Asia/Shanghai,Zhangjiakou Ningyuan Airport,ZQZ,CN,POINT (114.93866671510466 40.73820405),2347,,ZBZJ,Zhangjiakou,,Hebei
ZTS,America/Vancouver,Tahsis,ZTS,CA,POINT (-126.6534942 49.9218048),0,,CAL9,Tofino,Regional District of Alberni-Clayoquot,British Columbia
ZUM,America/Goose_Bay,Churchill Falls,ZUM,CA,POINT (-64.1063995 53.5619011),1442,,CZUM,Labrador City,,Newfoundland and Labrador
WIU,Pacific/Port_Moresby,Witu,WIU,PG,POINT (149.5 -4.666667),0,,AYIX,Kimbe,,West New Britain
DAR,Africa/Dar_es_Salaam,Julius Nyerere International Airport,DAR,TZ,POINT (39.20752396159325 -6.8741937),75,http://www.tanzaniairports.com/,HTDA,Dar es Salaam,,Dar es Salaam
ZVK,Asia/Vientiane,Savannakhet,ZVK,LA,POINT (104.76031944401174 16.556469),509,,VLSK,Savannakhet,,Savannahkhet
WGE,Australia/Sydney,Walgett,WGE,AU,POINT (148.12542342678233 -30.0321528),439,,YWLG,Lightning Ridge,Walgett,New South Wales
WDR,America/New_York,Winder,WDR,US,POINT (-83.66526062716945 33.9817836),898,http://www.wdrairport.com/,KWDR,Winder,Barrow County,Georgia
WHS,Europe/London,Whalsay,WHS,GB,POINT (-0.9273154337203355 60.3765415),78,,EGEH,Shetland,Shetland Islands,Scotland
ZWA,Indian/Antananarivo,Andapa,ZWA,MG,POINT (49.6206017 -14.6517),1552,,FMND,Andapa,Andapa District,Sava
WIR,Pacific/Auckland,Wairoa,WIR,NZ,POINT (177.40428900521073 -39.01045995),36,,NZWO,Wairoa,Wairoa District,Hawke's Bay
WKR,America/Nassau,Walker's Cay,WKR,BS,POINT (-78.4014295 27.259706),19,,MYAW,High Rock,,East Grand Bahama
WLG,Pacific/Auckland,Wellington International Airport,WLG,NZ,POINT (174.8077029634527 -41.32691975),19,http://www.wellingtonairport.co.nz/,NZWN,Wellington,Wellington City,Wellington
WLP,Australia/Perth,West Angelas Airport,WLP,AU,POINT (118.7072 -23.1356),2257,,YANG,Tom Price,Ashburton,Western Australia
WLH,Pacific/Efate,Walaha,WLH,VU,POINT (167.69118229180754 -15.4111246),101,,NVSW,Saratamata,,Penama
WLS,Pacific/Wallis,Wallis Island Airport,WLS,WF,POINT (-176.16667 -13.233333),0,,NLWW,Mata-Utu,,Circonscription d'Uvea
WLW,America/Los_Angeles,Glenn County,WLW,US,POINT (-122.35 39.88333),505,,KWLW,Rancho Tehama Reserve,Tehama County,California
WMC,America/Los_Angeles,Winnemucca,WMC,US,POINT (-117.73333 40.966667),4320,,KWMC,Winnemucca,Humboldt County,Nevada
WMD,Indian/Antananarivo,Mandabe,WMD,MG,POINT (44.95 -21.033333),921,,FMSC,Beroroha,,Atsimo-Andrefana
WMA,Indian/Antananarivo,Mandritsara,WMA,MG,POINT (48.8390163 -15.8454475),994,,FMNX,Antsirabe Afovoany,,Sofia
DOD,Africa/Dar_es_Salaam,Dodoma Airport,DOD,TZ,POINT (35.754430618763045 -6.1700681500000005),3622,,HTDO,Dodoma,,Dodoma
DES,Indian/Mahe,Desroches,DES,SC,POINT (53.655951954638475 -5.696611750000001),32,,FSDR,Port Glaud,,Port Glaud
BYK,Africa/Abidjan,Bouake,BYK,CI,POINT (-5.068606828539775 7.7404244),1220,,DIBK,Bouake,,Vallee du Bandama
MSA,America/Winnipeg,Muskrat Dam,MSA,CA,POINT (-91.98333 53.816666),869,,CZMD,,,
BYR,Europe/Copenhagen,Laeso Airport,BYR,DK,POINT (10.996545925940573 57.27657225),36,,EKLS,Byrum,Laeso Kommune,North Denmark
DHR,Europe/Amsterdam,De Kooy/Den Helder Airport,DHR,NL,POINT (4.75 52.95),32,,EHKD,Den Helder,Gemeente Den Helder,North Holland
YCD,America/Vancouver,Nanaimo Airport,YCD,CA,POINT (-123.87077170725448 49.05294715),68,,CYCD,,,
WMH,America/Chicago,Mountain Home,WMH,US,POINT (-92.38333 36.333332),787,http://www.flytheozarks.com/,KBPK,Mountain Home,Baxter County,Arkansas
WMB,Australia/Melbourne,Warrnambool,WMB,AU,POINT (142.44886030231498 -38.29311165),213,,YWBL,Warrnambool,Warrnambool,Victoria
CZN,America/Anchorage,Chisana Field,CZN,US,POINT (-142.05 62.07083),3261,,CZN,,,
WMI,Europe/Warsaw,Warsaw-Modlin Airport,WAW,PL,POINT (20.648988117621318 52.450885650000004),328,http://modlinairport.pl/,EPMO,Zakroczym,Powiat nowodworski,Masovian Voivodeship
GHF,Europe/Berlin,Giebelstadt,GHF,DE,POINT (9.979900076875726 49.654131),951,http://www.edqg.de/,EDQG,Giebelstadt,Regierungsbezirk Unterfranken,Bavaria
WMP,Indian/Antananarivo,Mampikony,WMP,MG,POINT (47.59722 -16.075),134,,FMNP,Tsaratanana,,Betsiboka
GHM,America/Chicago,Municipal,GHM,US,POINT (-87.46667 35.783333),551,,KGHM,Centerville,Hickman County,Tennessee
WMV,Indian/Antananarivo,Madirovalo,WMV,MG,POINT (46.566666 -16.45),170,,,Ambato Boeny,,Boeny
WMN,Indian/Antananarivo,Maroantsetra,WMN,MG,POINT (49.6897486 -15.4376416),26,,FMNR,Maroantsetra,,Analanjirofo
WMO,America/Anchorage,White Mountain Airport,WMO,US,POINT (-163.4102675 64.6886809),177,,PAWM,Nome,Nome Census Area,Alaska
WMR,Indian/Antananarivo,Mananara,WMR,MG,POINT (49.7737999 -16.1637981),22,,FMNC,Mananara,,Analanjirofo
WNE,Africa/Libreville,Wora Na Ye,WNE,GA,POINT (9.333333 -1.35),16,,,Omboue,,Ogooue-Maritime
GHN,Asia/Shanghai,Guanghan,GHN,CN,POINT (106.65 30.466667),790,,ZUGH,Guang'an,,Sichuan
LCY,Europe/London,London City Airport,LON,GB,POINT (0.0549024013303768 51.5042655),19,http://www.londoncityairport.com/,EGLC,,,
WNH,Asia/Shanghai,Wenshan Puzhehei Airport,WNH,CN,POINT (104.24256 23.374907),4179,,ZPWS,Wenshan City,Wenshan Zhuangzu Miaozu Zizhizhou,Yunnan
WMX,Asia/Jayapura,Wamena Airport,WMX,ID,POINT (138.95220458580468 -4.09665775),5403,,WAJW,Wurigelebur,,Papua
WOW,America/Anchorage,Willow,WOW,US,POINT (-150.16667 61.833332),108,,PAUO,Willow,Matanuska-Susitna Borough,Alaska
WPA,America/Santiago,Puerto Aisen,WPA,CL,POINT (-72.7 -45.4),19,,SCAS,Puerto Aisen,Provincia de Aisen,Aisen
WPB,Indian/Antananarivo,Port Berge,WPB,MG,POINT (47.666668 -15.55),49,,FMNG,Antsohihy,,Sofia
WRT,Europe/London,Warton Aerodrome,WRT,GB,POINT (-2.8863127 53.7440449),39,,EGNO,Warton,Lancashire,England
ZWL,America/Regina,Wollaston Lake,ZWL,CA,POINT (-103.17224020533234 58.10592265),1360,,CZWL,Flin Flon,,Manitoba
WRY,Europe/London,Westray Airport,WRY,GB,POINT (-2.9490450908151673 59.350831400000004),13,,EGEW,Kirkwall,Orkney Islands,Scotland
WPO,America/Denver,North Fork Valley,WPO,US,POINT (-107.6 38.86667),5649,,K7V2,Paonia,Delta County,Colorado
WPR,America/Santiago,Porvenir,WPR,CL,POINT (-70.333336 -53.25),39,,SCFM,Punta Arenas,Provincia de Magallanes,Magallanes
DAF,Pacific/Port_Moresby,Daup,DAF,PG,POINT (144.95 -4.733333),311,,"",,,
WPU,America/Santiago,Puerto Williams,WPU,CL,POINT (-68.25 -54.95),1381,,SCGZ,Ushuaia,,Tierra del Fuego
WRB,America/New_York,Robins AFB,MCN,US,POINT (-83.64778 32.695557),337,http://www.robins.af.mil/,KWRB,Centerville,Houston County,Georgia
WSA,Pacific/Port_Moresby,Wasua,WSA,PG,POINT (142.8705373 -8.2831906),62,,AYIW,Daru,,Western Province
WSF,America/Anchorage,Sarichef,WSF,US,POINT (-164.902081 54.5861889),236,,,Akutan,Aleutians East Borough,Alaska
WRI,America/New_York,Mc Guire AFB,WRI,US,POINT (-74.65017 40.155308),78,http://www.mcguire.af.mil/,KWRI,Groveville,Mercer County,New Jersey
WRL,America/Denver,Worland Municipalcipal,WRL,US,POINT (-107.95306 43.9675),4084,,KWRL,Worland,Washakie County,Wyoming
WRZ,Asia/Colombo,Wirawila,WRZ,LK,POINT (81.238335 6.251667),131,,VCCW,Tangalla,,Southern
WPK,Australia/Brisbane,Wrotham Park,WPK,AU,POINT (144.0019989 -16.6583004),515,,YWMP,Mareeba,Tablelands,Queensland
WSB,America/Anchorage,SPB,WSB,US,POINT (-119.73333 39.36667),4665,,WSB,Virginia City,Storey County,Nevada
WSD,America/Denver,Condron AAF,WSD,US,POINT (-106.48333 32.38333),4291,,KWSD,White Sands,Dona Ana County,New Mexico
WSG,America/New_York,County,WSG,US,POINT (-80.25 40.166668),1040,,KAFJ,Washington,Washington County,Pennsylvania
WSH,America/New_York,Brookhaven,WSH,US,POINT (-72.833336 40.75),0,,KHWV,Mastic Beach,Suffolk County,New York
WSJ,America/Anchorage,San Juan SPB,WSJ,US,POINT (-153.31833 57.73111),42,,,Kodiak Station,Kodiak Island Borough,Alaska
WSK,Asia/Shanghai,Chongqing Wushan Airport,WSK,CN,POINT (109.71336937776792 31.07157155),5800,,ZUWS,Quchi,,Chongqing Shi
WSM,America/Anchorage,Wiseman,WSM,US,POINT (-150.1190072 67.4059294),1286,,WSM,Nuiqsut,North Slope Borough,Alaska
GHT,Africa/Tripoli,Ghat,GHT,LY,POINT (10.166667 24.966667),2201,,HLGT,Ghat,,Sha`biyat Ghat
GHU,America/Argentina/Cordoba,Gualeguaychu,GHU,AR,POINT (-58.6145981728766 -33.00510395),45,,SAAG,Gualeguaychu,,Entre Rios
GKN,America/Anchorage,Gulkana,GKN,US,POINT (-145.45182003437623 62.154535),1499,,PAGK,,,
YVN,America/Pangnirtung,Cape Dyer,YVN,CA,POINT (-61.57952572 66.597376),0,,,,,
TEP,Pacific/Port_Moresby,Teptep,TEP,PG,POINT (146.5 -5.85),7011,,AYTP,,,
GSO,America/New_York,Piedmont Triad International Airport,GSO,US,POINT (-79.94356850477837 36.1031477),889,,KGSO,Oak Ridge,Guilford County,North Carolina
GSP,America/New_York,Greenville-Spartanburg International Airport,GSP,US,POINT (-82.21722845651891 34.8954456),948,,KGSP,Greer,Greenville County,South Carolina
GSS,Africa/Johannesburg,Sabi Sabi,GSS,ZA,POINT (30.8 -25.116667),4215,,FASE,Graksop,Ehlanzeni District,Mpumalanga
GSU,Africa/Khartoum,Gedaref,GSU,SD,POINT (35.466667 14.033333),2070,,HSGF,Al Qadarif,,Al Qadarif
SOP,America/New_York,Pinehurst-S. Pines,SOP,US,POINT (-79.423139 35.214368),524,http://moorecountyairport.com/,KSOP,Whispering Pines,Moore County,North Carolina
RRT,America/Chicago,Warroad,RRT,US,POINT (-95.3 48.9),1059,,KRRT,,,
WRO,Europe/Warsaw,Wroclaw Airport,WRO,PL,POINT (16.8756697 51.1075552),367,http://www.airport.wroclaw.pl/en/index.php,EPWR,Smolec,Powiat wroclawski,Lower Silesian Voivodeship
GSV,Europe/Saratov,Saratov Gagarin Airport,RTW,RU,POINT (46.166667 51.716667),82,,,Shumeyka,,Saratov
WRW,Australia/Perth,Warrawagine,WRW,AU,POINT (120.7029244 -20.8437035),465,,YWWG,Port Hedland,Port Hedland,Western Australia
WSN,America/Anchorage,South Naknek,WSN,US,POINT (-156.99996786405472 58.6995042),85,,PFWS,Dillingham,Dillingham Census Area,Alaska
WUU,Africa/Juba,Wau,WUU,SS,POINT (27.970441309724833 7.72599855),1532,,HSWW,Wau,,Western Bahr al Ghazal
WVI,America/Los_Angeles,Watsonville,WVI,US,POINT (-121.79168201412561 36.933656400000004),167,,KWVI,Watsonville,Santa Cruz County,California
WWT,America/Anchorage,Newtok,WWT,US,POINT (-164.64216823666695 60.9398817),19,,PAEW,Hooper Bay,Wade Hampton Census Area,Alaska
XBJ,Asia/Tehran,Birjand Airport,XBJ,IR,POINT (59.26414453526587 32.89977375),4904,,OIMB,Birjand,,Khorasan-e Jonubi
WYN,Australia/Perth,Wyndham,WYN,AU,POINT (128.15314435918117 -15.5113853),13,,YWYM,Kununurra,Wyndham-East Kimberley,Western Australia
XBG,Africa/Ouagadougou,Bogande,XBG,BF,POINT (-0.162316 12.9810906),971,,DFEB,Bogande,Gnagna Province,Est
THL,Asia/Rangoon,Tachilek Airport,THL,MM,POINT (99.93498439739474 20.48499535),1280,,VYTL,Mae Sai,,Chiang Rai
THR,Asia/Tehran,Mehrabad International Airport,THR,IR,POINT (51.278399738353954 35.6979248),3962,,OIII,Tehran,,Tehran
BYL,Africa/Monrovia,Bella Yella,BYL,LR,POINT (-10 7.366667),744,,"",,,
CBC,Australia/Perth,Cherrabun,CBC,AU,POINT (125.55 -18.916668),538,,"",,,
XDE,Africa/Ouagadougou,Diebougou,XDE,BF,POINT (-3.2525186 10.9488727),961,,DFOU,Diebougou,Province de la Bougouriba,Southwest
XDJ,Africa/Ouagadougou,Djibo,XDJ,BF,POINT (-1.6280623 14.1221595),964,,DFCJ,Djibo,Province du Soum,Sahel
XEQ,America/Godthab,Harbour,XEQ,GL,POINT (-44.63333 60.266666),3,,,Nanortalik,,Kujalleq
XIL,Asia/Shanghai,Xilinhot Airport,XIL,CN,POINT (115.95968470359296 43.91391455),3287,,ZBXH,Xilin Hot,,Inner Mongolia
XIY,Asia/Shanghai,Xianyang International Airport,SIA,CN,POINT (108.7580567206632 34.43866385),1532,http://www.xxia.com/,ZLXY,Dizhang,,Shaanxi
XGG,Africa/Ouagadougou,Gorom-Gorom,XGG,BF,POINT (-0.2182764 14.454266),905,,DFEG,Gorom-Gorom,Province de l'Oudalan,Sahel
XMD,America/Chicago,Madison,XMD,US,POINT (-97.11667 44),1653,,KMDS,Madison,Lake County,South Dakota
XMG,Asia/Kathmandu,Mahendranagar,XMG,NP,POINT (80.2 28.966667),698,,VNMN,Banbasa,,Uttar Pradesh
XML,Australia/Adelaide,Minlaton,XML,AU,POINT (137.5 -35),52,,YMIN,Honiton,Yorke Peninsula,South Australia
XMY,Australia/Brisbane,Yam Island,XMY,AU,POINT (142.45 -10.483333),0,,YYMI,Thursday Island,Torres,Queensland
DHB,America/Los_Angeles,Deer Harbor,DHB,US,POINT (-123.0032063 48.6209117),0,,"",,,
DMR,Asia/Aden,Dhamar,DMR,YE,POINT (44.433334 14.533333),7969,,,Dhamar,Madinat Dhamar,Dhamar
XNA,America/Chicago,Northwest Arkansas Regional,FYV,US,POINT (-94.29711 36.275257),1253,http://www.flyxna.com/,KXNA,Cave Springs,Benton County,Arkansas
EBB,Africa/Kampala,Entebbe International Airport,EBB,UG,POINT (32.4429895 0.044802),3805,https://entebbe-airport.com/,HUEN,Entebbe,Wakiso District,Central Region
FLI,Atlantic/Reykjavik,Flateyri,FLI,IS,POINT (-23.7 65.98333),1906,,BIHT,,,
GIB,Europe/Gibraltar,North Front Airport,GIB,GI,POINT (-5.347921386651571 36.15157405),19,,LXGB,Gibraltar,,
GID,Africa/Bujumbura,Gitega,GID,BI,POINT (29.912829749986052 -3.41787695),5383,,HBBE,Gitega,,Gitega
GIF,America/New_York,Gilbert Field,GIF,US,POINT (-81.75 28.066668),114,http://kgif.mywinterhaven.com/,KGIF,Inwood,Polk County,Florida
GIG,America/Sao_Paulo,Galeao Antonio Carlos Jobim International Airport,RIO,BR,POINT (-43.258620204081936 -22.81122025),32,,SBGL,Duque de Caxias,Duque De Caxias,Rio de Janeiro
GII,Africa/Conakry,Siguiri,GII,GN,POINT (-9.166667 11.516667),1263,,GUSI,Siguiri,Siguiri Prefecture,Kankan
GIL,Asia/Karachi,Gilgit Airport,GIL,PK,POINT (74.33391939584052 35.91896215),4783,,OPGT,Gilgit,,Gilgit-Baltistan
GIR,America/Bogota,Girardot,GIR,CO,POINT (-74.8 4.3),915,,SKGI,Girardot City,Girardot,Cundinamarca
GIS,Pacific/Auckland,Gisborne Airport,GIS,NZ,POINT (177.97828688661417 -38.6639081),32,,NZGS,Gisborne,Gisborne District,Gisborne
GIT,Africa/Dar_es_Salaam,Geita,GIT,TZ,POINT (32.2 -2.8),4232,,HTRU,Geita,,Geita
GIU,Asia/Colombo,Sigiriya Slaf Base,GIU,LK,POINT (80.7595754 7.9564084),1010,http://www.airforce.lk/pages.php?pages=sigiriya,VCCS,Sigiriya,,Central
GTP,America/Los_Angeles,Grants Pass,GTP,US,POINT (-123.3885181 42.5101682),1079,,KSXT,Merlin,Josephine County,Oregon
GTR,America/Chicago,Golden Triangle Regional Airport,UBS,US,POINT (-88.5903986 33.4502),200,,KGTR,West Point,Clay County,Mississippi
GTW,Europe/Prague,Holesov,GTW,CZ,POINT (17.516666 49.2),561,,LKHO,Otrokovice,,Zlin
GTY,America/New_York,Gettysburg,GTY,US,POINT (-77.23333 39.833332),518,http://flygra.com/,W05,Gettysburg,Adams County,Pennsylvania
GTZ,Africa/Dar_es_Salaam,Kirawira B,GTZ,TZ,POINT (34.225555 -2.160833),3963,,HTGR,Issenye,,Mara
GUA,America/Guatemala,La Aurora International Airport,GUA,GT,POINT (-90.52716040808703 14.58331705),4872,,MGGT,Santa Catarina Pinula,,Guatemala
GUB,America/Mazatlan,Guerrero Negro,GUB,MX,POINT (-114.02220983499515 28.02557195),26,,MMGR,San Luis,,Baja California
MBU,Pacific/Guadalcanal,Mbambanakira,MBU,SB,POINT (160.75 -9.733333),85,,AGGI,,,
GUC,America/Denver,Gunnison Airport,GUC,US,POINT (-106.93982729134346 38.5323609),7604,,KGUC,Gunnison,Gunnison County,Colorado
GUD,Africa/Bamako,Goundam,GUD,ML,POINT (-3.5990064 16.3625833),849,,GAGM,Goundam,,Tombouctou
LNI,America/Anchorage,Dew Station,LNI,US,POINT (-153.25 70.916664),0,,PALN,,,
MBV,Pacific/Port_Moresby,Masa,MBV,PG,POINT (147.5910079872877 -6.3452645),5879,,AYSX,,,
GUF,America/Chicago,Edwards,GUF,US,POINT (-87.583336 30.166668),0,http://www.jka.us.com/,KJKA,Orange Beach,Baldwin County,Alabama
MBR,Africa/Nouakchott,Mbout,MBR,MR,POINT (-12.583333 16.033333),104,,,,,
SWP,Africa/Windhoek,Swakopmund,SWP,NA,POINT (14.5600131 -22.660858),190,,FYSM,,,
GUH,Australia/Sydney,Gunnedah,GUH,AU,POINT (150.24905249486724 -30.95742505),823,,YGDH,Gunnedah,Gunnedah,New South Wales
GUI,America/Caracas,Guiria,GUI,VE,POINT (-62.31121093515691 10.5764238),65,,SVGI,Gueiria,Municipio Valdez,Sucre
AAP,America/Chicago,Andrau Airpark,HOU,US,POINT (-95.666664 29.833332),154,http://www.proyek.dishubprovkaltim.info/?pro=1,WALS,,,
AAS,Asia/Jayapura,Apalapsili,AAS,ID,POINT (139.3107060627146 -3.880849),3005,,,,,
AKQ,Asia/Jakarta,Gunung Batin,AKQ,ID,POINT (105.23333 -4.616667),147,,"",Menggala,,Lampung
AKS,Pacific/Guadalcanal,Gwaunaru'u,AKS,SB,POINT (160.6817763 -8.7042047),42,,AGGA,,,
XNG,Asia/Ho_Chi_Minh,Quang Ngai,XNG,VN,POINT (108.77583 15.113611),45,,"",Quang Ngai,,Quang Ngai
AYW,Asia/Jayapura,Ayawasi,AYW,ID,POINT (132.5 -1.2),1840,,WASA,Aifat,,West Papua
BWX,Asia/Jakarta,Bandar Udara Internasional Banyuwangi,BWX,ID,POINT (114.33786464963038 -8.310454799999999),78,,WADY,Kepuh Wetan,,East Java
BXW,Asia/Jakarta,Harun Thohir Airport,BXW,ID,POINT (112.67693068947918 -5.72494045),72,,WARW,Paloh,,East Java
BYW,America/Los_Angeles,Blakely Island,BYW,US,POINT (-123 48.5),0,,"38WA",,,
BZM,Indian/Antananarivo,Bemolanga Airport,BZM,MG,POINT (45.087 -17.696),938,,,,,
EGL,Africa/Addis_Ababa,Neghelli,EGL,ET,POINT (39.7525564 5.2758674),5085,,HANG,Shakiso,,Oromiya
GIY,Africa/Johannesburg,Giyani,GIY,ZA,POINT (30.649513125158514 -23.282815550000002),1604,,FAGI,Giyani,Mopani District Municipality,Limpopo
GIZ,Asia/Riyadh,Jazan Regional Airport,GIZ,SA,POINT (42.582344 16.898949),42,,OEGN,Jizan,,Jizan
GJA,America/Tegucigalpa,Guanaja,GJA,HN,POINT (-85.90583 16.445),26,,MHNJ,Guanaja,,Bay Islands
GJL,Africa/Algiers,Jijel Ferhat Abbas Airport,GJL,DZ,POINT (5.875569778538126 36.7943535),39,,DAAV,Jijel,,Jijel
GJM,America/Porto_Velho,Guajara-Mirim,GJM,BR,POINT (-65.36667 -10.783333),387,,SBGM,Guajara Mirim,Guajara-Mirim,Rondonia
GUJ,America/Sao_Paulo,Guaratingueta,GUJ,BR,POINT (-45.20482610775648 -22.791205050000002),1748,,SBGW,Guaratingueta,Guaratingueta,Sao Paulo
XLS,Africa/Dakar,St Louis,XLS,SN,POINT (-16.461452955345397 16.0532913),36,,GOSS,Saint-Louis,,Saint-Louis
XMC,Australia/Melbourne,Mallacoota,XMC,AU,POINT (149.7202123 -37.6002405),85,,YMCO,Eden,Bega Valley,New South Wales
XMH,Pacific/Tahiti,Manihi,XMH,PF,POINT (-146.06681847632717 -14.43432505),19,,NTGI,Tiarei,,
XMN,Asia/Shanghai,Xiamen Gaoqi International Airport,XMN,CN,POINT (118.13265145897324 24.543830049999997),26,http://www.xiagc.com.cn/enweb/,ZSAM,Yingcun,,Fujian
XMA,Asia/Manila,Maramag,XMA,PH,POINT (125.0335636 7.7576709),902,http://www.pbase.com/philippineaviation/maramagoadi_airport_bukidnon,"",Maramag,Province of Bukidnon,Northern Mindanao
XMI,Africa/Dar_es_Salaam,Masasi,XMI,TZ,POINT (38.771822446316946 -10.738714),1272,,HTMI,Masasi,,Mtwara
XMS,America/Guayaquil,Macas,XMS,EC,POINT (-78.12077668408403 -2.2992943500000003),3395,,SEMC,Macas,,Morona-Santiago
GAP,Pacific/Port_Moresby,Gusap,GAP,PG,POINT (146.33333 -6.5),524,,AYGP,,,
GAV,Asia/Jayapura,Gag Island,GAV,ID,POINT (130.88333 -26),2240,,"",,,
GJT,America/Denver,Grand Junction Regional Airport,GJT,US,POINT (-108.52444920306618 39.123415800000004),4849,http://www.gjairport.com/,KGJT,Fruitvale,Mesa County,Colorado
GKD,Europe/Istanbul,Gokceada,GKD,TR,POINT (25.883715373974397 40.20526735),45,,LTFK,Gokceada,Goekceada,Canakkale
XSM,America/New_York,St Marys,XSM,US,POINT (-76.63333 38.283333),0,,,Leonardtown,Saint Mary's County,Maryland
XTG,Australia/Brisbane,Thargomindah,XTG,AU,POINT (143.76666 -27.966667),390,,YTGM,Bourke,Bourke,New South Wales
YAB,America/Iqaluit,Arctic Bay,YAB,CA,POINT (-85.183334 73.03333),72,,CYAB,,,
GKE,Europe/Berlin,Geilenkirchen,GKE,DE,POINT (6.133333 50.966667),203,,ETNG,Geilenkirchen,,North Rhine-Westphalia
BJG,Asia/Makassar,Bolaang,BJG,ID,POINT (122.1 -0.95),0,,"",,,
YVZ,America/Winnipeg,Deer Lake,YVZ,CA,POINT (-94.5 52.666668),1092,,CYVZ,,,
GKH,Asia/Kathmandu,Gorkha,GKH,NP,POINT (84.675 28),1909,,VNGK,Lamjung,Gandaki Zone,Western Region
BXM,Asia/Jayapura,Batom,BXM,ID,POINT (140.85 -4.116667),570,,WAJG,,,
XNN,Asia/Shanghai,Xining Caojiabao Airport,XNN,CN,POINT (102.03821999842393 36.5297578),7129,,ZLXN,Gaozhai,,Qinghai Sheng
YMH,America/St_Johns,Mary's Harbour,YMH,CA,POINT (-55.8471985 52.3027992),38,,CYMH,,,
XSE,Africa/Ouagadougou,Sebba,XSE,BF,POINT (0.5037673 13.4571544),816,,DFES,Sebba,Province du Yagha,Sahel
YZW,America/Whitehorse,Teslin,YZW,CA,POINT (-132.73434 60.1739957),2313,,CYZW,,,
XSO,Asia/Manila,Siocon,XSO,PH,POINT (122.16196502253516 7.7100627),42,,PRNO,Siocon,Province of Zamboanga del Norte,Zamboanga Peninsula
GKL,Australia/Brisbane,Great Keppel Island,GKL,AU,POINT (150.938504 -23.1830573),39,,YGKL,Yeppoon,Rockhampton,Queensland
GKO,Africa/Libreville,Kongoboumba,GKO,GA,POINT (11.466667 -0.083333),429,,,Booue,,Ogooue-Ivindo
GKT,America/New_York,Gatlinburg,GKT,US,POINT (-83.53061283130717 35.8584744),997,,KGKT,Sevierville,Sevier County,Tennessee
KCD,Asia/Jayapura,Kamur,KCD,ID,POINT (138.71666 -6.2),25,,WAKM,,,
DRH,Asia/Jayapura,Dabra,DRH,ID,POINT (138.56667 -3.25),190,,WAJC,Dabra,,Papua
EMO,Pacific/Port_Moresby,Emo,EMO,PG,POINT (147.95 -9.15),7752,,AYEO,,,
ENK,Europe/London,Enniskillen St. Angelo,ENK,GB,POINT (-7.633333 54.35),157,,EGAB,Enniskillen,Fermanagh District,Northern Ireland
ERU,Pacific/Port_Moresby,Erume,ERU,PG,POINT (147.08333 -8.416667),6351,,AYER,,,
ESH,Europe/London,Shoreham,ESH,GB,POINT (-0.2906099605168267 50.83351595),49,http://flybrighton.com,EGKA,Lancing,West Sussex,England
EWE,Asia/Jayapura,Ewer,EWE,ID,POINT (138.080500210884 -5.4949737),36,,"",,,
FAS,Atlantic/Reykjavik,Faskrudsfjordur,FAS,IS,POINT (-14.04742674000002 64.9314193),13,,BIFF,Eskifjoerdur,,East
FOO,Asia/Jayapura,Numfoor,FOO,ID,POINT (134.9 -1.05),111,,WABF,Kameri,,Papua
GLA,Europe/London,Glasgow International Airport,GLA,GB,POINT (-4.431782 55.864212),39,http://www.glasgowairport.com/,EGPF,Inchinnan,Renfrewshire,Scotland
GLC,Africa/Addis_Ababa,Geladi,GLC,ET,POINT (46.4213982 6.9844398),1338,,HAGL,,,
GLD,America/Denver,Renner Field,GLD,US,POINT (-101.70038367181789 39.3678063),3648,,KGLD,Goodland,Sherman County,Kansas
GLE,America/Chicago,Municipal,GLE,US,POINT (-97.13333 33.63333),728,http://www.gainesville.tx.us/index.aspx?nid=99,KGLE,Gainesville,Cooke County,Texas
GLH,America/Chicago,Greenville Airport,GLH,US,POINT (-90.985 33.484444),111,,KGLH,Metcalfe,Washington County,Mississippi
GLI,Australia/Sydney,Glen Innes,GLI,AU,POINT (151.6914255 -29.6752835),3421,,YGLI,Glen Innes,Glen Innes Severn,New South Wales
GUG,Pacific/Port_Moresby,Guari,GUG,PG,POINT (146.9 -8.516667),2769,,AYGF,,,
LRQ,America/Winnipeg,Laurie River,LRQ,CA,POINT (-101 56.216667),921,,CJC8,,,
GWT,Europe/Berlin,Westerland - Sylt Airport,GWT,DE,POINT (8.343056 54.91528),26,,EDXW,Tinnum,,Schleswig-Holstein
